Binary,Mnemonic,Cycles,Stop,Halt,SP src,addr16 dest,imm16 src,R light dest,R dark dest,Load,D1 dest,D2 src,"Swap s, d",Reg A dest,BC/DE src,Dec d,Inc d,imm8 src,Rot,Jump Rel,Skip if F,Jump,HL src,Dec s,Inc s,d+=s,PC dest,BCD d,Not d,CCF,SCF,ALU,Mem Loc s,FF00 Offset,Reg C src,Return,EI,CALL,DI,RST,CB
,,,STP,HLT,SPS,16ADDR,16S,RLD,RDD,LD,D1D,D2S,SWP,RAD,PAIRS,DECD,INCD,8S,ROT,JR,FSKIP,JP,HLS,DECS,INCS,DADDS,PCD,BCD,NOTD,CCF,SCF,ALU,MEMS,FF00,RCS,RET,EI,CALL,DI,RST,CB
,,,Stop();,if (checkHalt(op))       Halt();,u16 *s = &SP;,u16 *d = (u16*) &mem[imm16];,*s = imm16;,u16 *d = (op.R ^ 0b11) ? &regPair[op.R] : &SP;,u16 *d = &regPair[op.R];,*d = *s;,*d = (op.d1 ^ 0b110) ? &reg[op.d1] : &mem[regPair[0b10]];,*s = (op.d2 ^ 0b110) ? &reg[op.d2] : &mem[regPair[0b10]];,u16 *tmp = s; s = d; d=tmp;,u8 *d = &reg[0x7];,u16 *s = regPair[op.sR];,*d = *d - 1,*d = *d + 1,*s = imm8;,"*s = rot(op.dir, op.nC);",PC += *s;,if (flag(op.F)) break;,PC = *s,*s = &regPair[0b10];,*s = *s - 1,*s = *s + 1,*d += *s,d = &PC;,*d =bcd(*d);,*d = ~(*d),reg[REG_F] = (reg[REG_F} & 0b1001) ^ 0b0001;,reg[REG_F] = (reg[REG_F] & 0b1000) | 0b0001;,"*d = ALU(*d, *s, op.d1);",s = &mem[*s];,*s = &mem[0xFF00 + *s],*s = &reg[0x1];,PC = *((u16*) &ram[SP]); SP -= 2;,EI = 1;,mem[SP] = PC; SP += 2; PC = *s;,EI = 0;,PC = op.d1 << 3; and other call stuff,cb(op);
u8 reg[8];,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u16 regPair[4] = (u16*) reg;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"u16 SP, PC;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPCODE Bit,7,6,5,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sR,dir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Light R,Light R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dark R,Dark R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,D1,D1,D1,D2,D2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ALU,ALU,ALU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Not Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000 0000,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000 1000,"LD (N), SP",,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00** 0001,"LD R, N",,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000* 0010,"LD (R), A",,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
000* 1010,"LD A, (R)",,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0001 0000,STOP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00** 0011,INC R,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
00** 1011,DEC R,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
00** *100,INC D,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
00** *101,DEC D,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
00** *110,"LD D, N",,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
01** ****,"LD D, D",,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000* *111,ROT A,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0001 1000,JR N,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,
001* *000,"JR F, N",,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,
1100 0011,JP N,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
110* *010,"JP F, N",,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
1110 1001,JP HL,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0010 0010,"LDI HL, A",,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
0010 1010,"LDI A, HL",,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
0010 0010,"LDD HL, A",,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
0011 1010,"LDD A, HL",,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
0010 0111,DAA,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0010 1111,CPL,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0011 1111,CCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
0011 0111,SCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
00** 1001,"ADD HL, R",,,,,,,1,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
10** ****,"ALU OP, D",,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
11** *110,"ALU OP, N",,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
11** 0001,POP R,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11** 0101,PUSH R,,,,,,,,1,1,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,
1110 0010,"LD (C), A",,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1111 0010,"LD A, C",,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
1110 0000,"LD FF00+$N, A",,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
1111 0000,"LD A, FF00+$N",,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
1110 1010,"LD (N), A",,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1111 1010,"LD A, (N)",,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1110 1000,"ADD SP, N",,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
1100 1001,RET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
110* *000,RET F,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
1101 1001,RETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
110* *100,"CALL F, N",,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
1100 1101,CALL N,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
1111 0011,DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1111 1011,EI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"1111 1001: ("""", ""LD SP, HL"", []),","LD SP, HL",,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111 1000,"LD HL, SP+$N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11** *111,RST nthing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1100 1011,CB safsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1